,id,price,level,levels,rooms,area,kitchen_area,house_id
0,0,1968000,9,16,2,67.0,25.0,2115808
1,1,1600000,2,5,1,31.2,6.0,652481
2,2,6400000,2,9,2,68.0,11.8,1811821
3,3,3700000,12,20,1,30.0,10.0,1337886
4,4,12500000,6,9,2,38.8,6.0,2245294
5,5,15233452,9,9,2,59.8,15.1,2211505
6,6,11000000,14,16,2,55.4,8.6,1382306
7,7,10000000,14,14,3,87.7,35.0,600410
8,8,1850000,2,9,1,34.0,10.7,2456474
9,9,15728362,4,23,2,79.3,13.22,1535617
10,10,8700000,8,9,3,78.1,13.0,2123359
11,11,11700000,5,20,3,82.4,12.3,1787545
12,12,2300000,2,5,1,31.0,6.3,1331346
13,13,1300000,2,5,1,30.0,6.0,1290393
14,14,3300000,7,9,2,57.0,8.3,2398537
15,15,3900000,16,17,1,36.6,9.0,2106640
16,16,20524200,2,5,3,86.6,18.8,2326167
17,17,2900000,7,9,1,33.0,7.5,2653302
18,18,2230000,9,9,1,46.0,11.0,2817014
19,19,3500000,7,10,1,37.0,9.0,2719624
20,20,2950000,1,3,3,65.0,12.0,2140471
21,21,2800000,5,9,2,43.0,7.0,2277052
22,22,7399000,1,9,3,63.0,8.0,1913905
23,23,39000000,2,8,2,77.0,28.0,872941
24,24,13850000,12,14,2,60.5,10.0,1874704
25,25,5000000,6,9,3,62.9,7.0,2087611
26,26,5590000,3,25,3,86.0,14.0,996719
27,27,2704900,5,15,1,44.0,14.5,1542826
28,28,2850000,1,5,2,44.0,6.0,2098259
29,29,2900000,6,10,1,36.6,6.4,2571659
30,30,4550000,9,16,1,30.0,9.1,2794991
31,31,3435717,8,25,1,42.6,12.5,2571720
32,32,3200000,1,10,2,52.0,10.0,963531
33,33,8000000,11,12,2,48.5,7.1,1709609
34,34,2100000,9,12,1,36.0,10.0,598849
35,35,4250000,8,18,2,53.0,8.5,613432
36,36,5470000,7,16,2,64.2,15.0,2771810
37,37,2220000,4,5,3,68.8,8.7,1878765
38,38,7500000,18,25,2,102.5,11.2,716976
39,39,4200000,21,25,1,41.0,12.0,2744196
40,40,23000000,9,17,2,67.0,10.5,1225937
41,41,12000000,5,5,2,56.0,8.0,1354130
42,42,4380000,9,9,3,62.6,7.0,2057800
43,43,9941505,16,25,3,90.79,21.88,1127141
44,44,2400000,5,5,2,46.0,6.0,1584094
45,45,4650000,4,5,1,39.0,9.0,2319228
46,46,1870000,1,4,1,30.0,6.0,2051319
47,47,5300000,17,21,1,49.0,16.0,2780754
48,48,5999400,16,17,1,33.33,9.0,952054
49,49,2100000,4,4,1,37.0,10.0,645989
50,50,4250000,7,9,2,43.0,8.0,941848
51,51,3600000,3,18,1,39.7,8.7,2160700
52,52,9750000,25,25,2,69.0,13.0,1676503
53,53,1950000,4,4,3,54.2,6.0,773421
54,54,3300000,14,19,2,51.0,12.0,992860
55,55,6000000,1,9,3,95.0,14.0,1563309
56,56,3200000,4,7,1,37.18,9.7,667822
57,57,2600000,9,11,2,75.0,9.0,2360320
58,58,4913680,3,21,1,36.0,9.4,2436022
59,59,2180000,1,5,2,42.0,6.0,770558
60,60,1980000,1,9,1,28.4,6.8,1502994
61,61,14300000,2,22,2,44.0,16.0,1995363
62,62,17149440,23,33,3,70.0,12.6,1714723
63,63,7400000,3,9,3,60.1,6.3,1621478
64,64,890000,3,3,1,34.0,8.0,1550603
65,65,6749000,4,15,1,38.1,8.4,1626093
66,66,9900000,4,12,1,35.0,9.1,2394358
67,67,5450000,7,10,2,77.4,11.1,853079
68,68,4900000,7,17,2,60.0,10.0,1439525
69,69,2435450,18,22,1,36.0,9.0,2175005
70,70,7200000,8,19,2,67.7,14.3,1383560
71,71,7548250,1,5,2,67.8,34.16,1132621
72,72,2600000,1,12,1,37.0,8.19,1799086
73,73,2070000,5,5,2,46.0,7.0,598316
74,74,2500000,3,3,1,30.0,8.4,1506961
75,75,29900000,3,4,2,67.0,8.2,1829140
76,76,4650000,4,5,1,41.8,14.0,940329
77,77,1300000,1,3,3,57.0,7.2,1518989
78,78,3000000,1,5,2,43.0,6.0,1348741
79,79,18100000,6,11,4,130.0,40.0,1162598
80,80,3640000,5,14,2,52.0,9.0,2431268
81,81,5360000,1,7,1,44.1,11.3,1776571
82,82,2100000,2,9,1,43.0,9.0,1595340
