,id_region,avg_geo_lat,avg_geo_lon
0,62,54.611470174747474,39.73274880909091
1,2,54.58693191225166,55.771708149999995
2,39,54.74597274380531,20.49691431681416
3,72,57.238334719695764,65.8112964897518
4,77,55.72803762591549,37.586306623333336
5,78,59.932954259916926,30.30981475669782
8,31,50.762853479365084,36.921332251984126
11,50,55.74952149670968,37.70969578651613
12,40,54.633264277314815,36.297619284722224
14,14,58.76743154827586,125.65232156206896
15,54,54.998074338940285,82.92824460218672
17,22,53.146371434437086,83.7376765615894
18,74,55.051722372823214,61.09729231860158
19,24,56.1676930397561,92.88590763682927
20,52,56.25623180076923,43.90731159653846
26,36,51.62257592377049,39.24946635218579
27,26,44.70399516571428,42.28135414253968
28,42,54.790600104484305,86.4448703735426
29,66,56.922745685992695,60.59403648733252
30,47,59.94892709169675,30.375188024548738
34,23,44.76286257590848,38.826514684925975
38,34,48.76401049502488,44.52978255771144
44,9,44.16221981818182,42.03210188181818
47,16,55.75627513090615,49.796991359061494
53,59,58.084255015639805,56.20312901943128
54,64,51.57766016572438,46.10076569893993
57,5,42.89286413974359,47.55836338076923
73,61,47.27876314583333,39.756369174679485
74,33,56.16113261025641,40.380497044871795
77,12,56.60466530849057,47.872067696226416
87,18,56.8864849912,53.2779240488
92,7,43.5180405175,43.62974123
98,15,43.03983263043478,44.65616109130434
106,86,61.10733117964602,73.43392371769912
114,69,56.82688674130435,35.82926542934783
127,11,62.383978071910114,51.93576693370787
129,38,53.5826335261194,103.65812375298508
138,13,54.18771198363636,45.16273916909091
150,29,64.54111018235295,40.30128785294118
190,76,57.633024031877724,39.73384775851528
220,21,56.07481557758621,47.2849987183908
223,63,53.254587713356166,50.014402569863016
249,58,53.19767122352941,44.96125744411764
261,91,44.92591654104478,34.11305782761194
269,10,61.99777720967742,34.11586164516129
271,56,51.810970346000005,55.203814912
277,75,51.90097833085107,113.8700842893617
298,20,43.30524606666667,45.68914636666667
493,19,53.734788458000004,91.41701480600001
576,48,52.59777598333333,39.53745706666667
611,71,54.1763634961039,37.722019136363635
668,67,54.768134869230764,32.04967815384615
707,57,52.97762402857143,36.056683542857144
812,55,54.982846026666664,73.35459694095238
842,45,55.45791472857143,65.34951085714286
924,3,52.04435438421052,107.77581955789474
947,35,59.21845590625,39.890659299999996
979,44,57.75088605714285,40.94078225714286
1011,73,54.332228255555556,48.58280554444444
1032,70,56.4945726875,84.98967716875
1100,37,57.010818240000006,40.963536579999996
1156,32,53.24417914736842,34.24728096842105
1202,30,46.33697292,48.037204020000004
1225,1,44.88965967142857,39.366385349999995
1227,28,50.28250656190477,127.53693854285714
1445,53,58.53989832,31.27034235
1457,25,43.12071575,131.9648502
2175,43,58.590425350000004,49.65237585333333
2458,92,44.6012591,33.47044585555555
3427,46,51.81245922857143,36.02933975714286
3566,60,57.495415811111116,28.81132868888889
4768,27,49.17598461111111,135.71688124444444
5082,6,43.29809986666667,44.7223301
5113,17,51.709641399999995,94.43456014
6261,4,51.960848666666664,85.94182493333334
7907,68,52.736328042857146,41.42660644285714
