,street_id,postal_code,id_region
0,369324,390039,62
1,343846,452754,2
2,555715,236001,39
3,526777,625031,72
4,544886,119313,77
5,534802,190000,78
6,337557,192241,78
7,530484,625001,72
8,454190,309510,31
9,440019,196070,78
10,460657,195269,78
11,358727,141734,50
12,371679,248018,40
13,564956,142641,50
14,501752,678965,14
15,371897,630123,54
16,256193,105037,77
17,436435,656010,22
18,224540,455047,74
19,173139,660127,24
20,453582,607612,52
21,501500,630036,54
22,284558,190000,78
23,355174,143401,50
24,293806,115280,77
25,381215,450105,2
26,459265,394068,36
27,446215,355035,26
28,537815,650003,42
29,385684,620076,66
30,336465,188692,47
31,339614,394018,36
32,496992,662501,24
33,349079,196240,78
34,436380,350065,23
35,576706,450010,2
36,313354,620134,66
37,175264,456513,74
38,549659,400066,34
39,332786,248033,40
40,142302,354024,23
41,287808,199106,78
42,545901,630063,54
43,438893,197350,78
44,372460,369012,9
45,507782,238326,39
46,446848,390042,62
47,254180,420101,16
48,284176,141014,50
49,325079,630116,54
50,412863,603093,52
51,169225,650061,42
52,545337,143965,50
53,425629,614030,59
54,256425,410071,64
55,450441,625051,72
56,239577,308501,31
57,186976,367030,5
58,128383,188678,47
59,413141,620054,66
60,412388,620000,66
61,258097,123308,77
62,149126,115487,77
63,512582,197349,78
64,409656,623030,66
65,516495,195274,78
66,357954,117624,77
67,473902,400005,34
68,158195,630061,54
69,490507,350012,23
70,477208,454003,74
71,385929,196626,78
72,208473,355028,26
73,391122,344058,61
74,116980,600026,33
75,213836,191186,78
76,448997,141895,50
77,403291,425400,12
78,184692,620041,66
79,412006,625005,72
80,400486,623704,66
81,187105,236010,39
82,558746,454136,74
83,386431,620143,66
84,167135,127562,77
85,346389,196634,78
86,412289,109044,77
87,178898,426038,18
89,368248,354003,23
90,478426,625033,72
91,233285,630083,54
92,307461,361045,7
93,582983,236028,39
94,203005,344079,61
95,442000,197101,78
96,279150,630096,54
97,297345,350065,23
98,570760,362039,15
99,247779,129344,77
100,422233,107497,77
101,435070,630099,54
102,454442,196105,78
103,286086,454014,74
104,414998,624092,66
105,431647,143989,50
106,362329,628414,86
107,272289,420139,16
108,165032,625040,72
109,172530,396900,36
110,203142,620103,66
111,281874,107014,77
112,339063,454003,74
113,570642,350005,23
114,519001,170043,69
115,240499,125167,77
116,567409,660012,24
117,568277,454010,74
118,288640,620142,66
119,585425,119361,77
120,447459,350090,23
121,245475,350038,23
122,300413,198515,78
123,457504,141420,50
124,123763,353445,23
126,141475,454108,74
127,470664,167026,11
128,168277,620091,66
129,450890,664050,38
130,359204,197373,78
131,265751,193079,78
132,172642,627144,72
133,250375,197110,78
134,436570,394072,36
135,532271,248000,40
136,119504,143080,50
137,221758,309513,31
138,402805,430017,13
139,493407,630068,54
140,317037,171504,69
141,150373,450511,2
142,451365,625033,72
143,171336,109559,77
145,168026,630032,54
146,255706,107497,77
147,200907,121374,77
148,491015,664009,38
149,433998,144010,50
150,195604,163000,29
151,357997,660122,24
152,406607,394087,36
153,433680,143026,50
154,561780,142720,77
155,361193,142180,50
156,387561,628406,86
157,410769,127247,77
158,344043,453431,2
159,152442,625046,72
160,543620,353454,23
161,272718,394053,36
162,437613,354340,23
163,492902,167002,11
164,329872,660020,24
165,433338,248001,40
166,577493,453118,2
167,421638,625018,72
168,295000,625034,72
169,541741,127572,77
170,523822,350065,23
171,194550,123100,77
172,548516,354053,23
173,286170,628400,86
175,516443,190000,78
176,289920,115088,77
178,288661,236034,39
179,456027,248033,40
180,206574,355044,26
181,357700,195257,78
182,420985,454085,74
183,236042,140016,50
184,222769,420111,16
185,563769,620072,66
187,165653,600009,33
188,291065,142703,50
189,233606,170021,69
190,562812,152925,76
191,382072,187330,47
192,561546,622049,66
193,475141,248031,40
194,581004,121609,77
195,285337,143968,50
196,264685,121353,77
197,512244,394010,36
198,482060,344049,61
199,130483,454078,74
200,239624,625033,72
201,303534,422701,16
202,199644,625013,72
203,224129,456618,74
204,338442,192007,78
205,504421,423802,16
206,338699,108801,77
207,324805,198264,78
208,348047,309514,31
209,154926,454079,74
210,528814,630119,54
211,220126,357635,26
212,571204,238563,39
213,301455,350065,23
215,216658,620041,66
216,136804,630119,54
217,422229,357623,26
218,290904,236017,39
219,190420,456219,74
220,267439,428009,21
221,428819,150030,76
222,341102,188689,47
223,168153,443093,63
224,161615,190000,78
225,386965,170027,69
226,566801,193230,78
227,197154,620039,66
228,120065,620100,66
230,423776,109369,77
231,318736,454092,74
232,415584,344064,61
233,374042,109428,77
234,367256,420075,16
235,126090,344015,61
237,413867,141501,50
238,412993,456604,74
239,171199,625048,72
240,147336,625016,72
241,134360,115583,77
242,331179,127474,77
243,477127,140126,50
244,187928,196084,78
246,222437,123182,77
247,328577,108809,50
248,168225,188678,47
249,414261,440062,58
250,300793,143072,50
251,502874,423827,16
252,582509,625007,72
253,138653,625003,72
254,169384,236022,39
255,535271,194358,78
256,435279,143582,50
257,418161,109469,77
258,321004,141055,50
259,505110,422550,16
260,266814,344064,61
261,565508,295021,91
262,120244,355030,26
263,463086,350072,23
264,227064,236038,39
265,466341,188507,47
266,281659,143500,50
267,138887,143006,50
268,132763,454016,74
269,137578,185033,10
270,208890,664075,38
271,272154,460003,56
272,551292,236001,39
274,325078,620027,66
275,271178,423826,16
276,217583,450074,2
277,133076,674673,75
278,516311,140060,50
279,359885,194362,78
280,134238,662973,24
281,300713,236044,39
282,123412,308008,31
283,187993,662520,24
284,389938,410031,64
285,217328,344045,61
286,179380,440072,58
288,226855,105118,77
289,205189,353920,23
290,509409,428034,21
291,149472,630024,54
292,223187,192283,78
293,539147,115054,77
294,444592,195197,78
295,129216,428010,21
296,497145,308014,31
297,415324,193230,78
298,273656,364030,20
299,239349,394077,36
300,533745,344019,61
301,273212,140002,50
302,383004,454047,74
303,317734,660132,24
305,498186,450112,2
306,332325,143002,50
307,337153,350912,23
308,514530,420029,16
309,453408,127562,77
311,255059,446029,63
312,362451,194354,78
313,421414,620026,66
314,129488,121471,77
315,258222,119034,77
316,280400,394066,36
317,479463,620091,66
318,379855,117546,77
319,232807,195299,78
320,336763,625032,72
321,124653,350900,23
322,587737,650033,42
323,478590,625046,72
324,485675,603163,52
325,392486,601630,33
327,116321,152021,76
328,448767,630003,54
330,474691,420140,16
332,252985,620050,66
333,305013,630063,54
335,457606,353465,23
336,122604,236029,39
337,160166,666686,38
338,381623,198095,78
339,190550,423250,16
340,438252,198206,78
343,526415,650024,42
344,303342,603000,52
345,392766,248016,40
346,305576,443041,63
347,254677,354008,23
348,577672,625040,72
349,496494,446115,63
350,272801,119270,77
351,393936,630108,54
352,119334,625000,72
353,248575,454090,74
354,441766,443528,63
355,524924,190000,78
356,317773,309504,31
358,175488,454112,74
359,267407,191040,78
360,189914,108811,50
361,579363,191144,78
362,119974,117447,77
363,409546,625048,72
365,487217,236023,39
366,243374,454025,74
367,579901,660062,24
368,326789,355006,26
369,437992,390048,62
370,404599,450078,2
371,189808,360017,7
372,391806,601916,33
373,256985,167031,11
374,371541,117042,77
375,239320,625051,72
376,261259,630049,54
379,346636,238340,39
380,222745,630015,54
381,167254,357100,26
383,396136,660098,24
384,393374,628408,86
385,339252,654032,42
386,240695,141707,50
387,333905,119634,77
388,308158,141613,50
389,369566,140060,50
390,373841,625046,72
391,473690,344082,61
393,182336,141071,50
394,429139,127204,77
395,585303,620014,66
396,144303,350073,23
397,178923,141704,50
398,215250,650056,42
399,509490,420071,16
400,297649,424020,12
401,157122,420083,16
402,168513,630017,54
403,160255,236022,39
404,119198,117534,77
405,490550,143006,50
406,331961,129345,77
407,258493,430005,13
408,161336,141034,50
409,539418,344019,61
410,521486,350058,23
411,557964,620036,66
412,493098,188691,47
